customer_tweet_id,customer_text,brand_tweet_id,brand_reply,created_at
1740,I have. No luck.,1742,Sorry you're still having trouble! What error are you seeing when you try to use the app? ^JP,Sat Nov 04 01:48:57 +0000 2017
1744,It’s not allowing me to update it to register my new amazon account. I read I’d have to do so manually. Thx 4 response.,1746,No problem! You may need to deregister the Kindle from the old account. You can see how here: [URL] ^AJ,Tue Oct 31 22:56:37 +0000 2017
1748,that is not my apartment!!!!!!! This is the sending time!!!! Where is my package!!!!!!!!!! [URL],1747,"(2/2) Also, for your security, I'd recommend deleting the image, as it contains your tracking number. ^WT",Tue Oct 31 22:32:27 +0000 2017
1752,Truly. This is the strangest vampire book I’ve ever received. 😜 cc @43760 @AmazonHelp #misship [URL],1750,I'm sorry you received an incorrect item. Have you checked out our return/replacement options here: [URL] ^FJ,Tue Oct 31 22:29:27 +0000 2017
2544,Wasn't tracked as sent via Royal Mail. I've emailed the seller.,2542,How long has it been since you've e-mailed the seller? ^TR,Tue Oct 31 22:58:28 +0000 2017
2543,"Just now, don't use Amazon much so didn't know the process if you don't receive an item",2545,"Please allow 48 hours for the seller to respond, Allen. Let us know how it works out and if we can help with anything else! ^CN",Tue Oct 31 23:25:31 +0000 2017
2547,Yeah I sent you a DM too. Had an email saying when it had been dispatched but nothing since.,2546,We're unable to view any account information via Twitter. What's the current tracking shown here: [URL] ^AG,Tue Oct 31 20:26:00 +0000 2017
2549,"Hi, I ordered an item on 18 Oct which said it would be delivered by 20 Oct and I still haven't received it. Can you help? Thanks",2548,I'm sorry you haven't received it yet! Have you had an e-mail regarding the order? Please check junk/spam and let us know! ^TG,Tue Oct 31 19:38:28 +0000 2017
2551,"I'm learning German, so I don't really mind between German/English. If I have to choose, I say German.",2550,"Du kannst bei den Kategorien ""Bücher"" oder ""Bücher Fremdsprachig"" auswählen, wobei ersteres deinem Wunsch entspricht. Gruß ^JS",Tue Oct 31 22:58:27 +0000 2017
2556,"I made a same day ship mid Monday and it said it would deliver that day. It didn’t. Today it still says out for delivery, still no show.",2554,"I'm so sorry for the late delivery, Kimmie! Our carriers can deliver until 8 PM, please keep us updated on its arrival. ^BE",Tue Oct 31 22:58:27 +0000 2017
2555,I allowed it well past 8 PM. I was never notified about any other delays,2557,I'm sorry that it still hasn't arrived. Please contact us so that we can look into this together: [URL] ^EA,Wed Nov 01 02:15:00 +0000 2017
2559,"hello, I’m having an issue with a same day ship order. Can you help me?",2558,Hello! We'd love to help. Can you tell us a bit more about what's happening? ^EB,Tue Oct 31 22:49:00 +0000 2017
2561,Erm @AmazonHelp I bought this item for £5.99... why am I only getting £1.67 back?! [URL],2560,We'd like to take a closer look into this refund for you. Please reach us at:[URL] ^CC,Tue Oct 31 22:57:00 +0000 2017
2565,Where is my order? [URL],2564,I'm sorry it hasn't arrived! Please reach us here: [URL] so we can look into available options. ^SJ,Tue Oct 31 22:54:27 +0000 2017
2570,"yes i did,but amazonuk is not doing the refund process.if they do it .i will get the money",2569,"I would like someone from our team to take a look into this for you, Sanu. Please reach out here: [URL] ^LA",Tue Oct 31 22:50:35 +0000 2017
2572,i mailed amazonuk so many time. but i havent got any progress.customer care just saying thats in the billing section.no i havent got refund,2571,Have you had a chance to speak with your bank regarding the refund? ^EA,Tue Oct 31 22:13:52 +0000 2017
2574,and redund issued on 13th [URL] no sing of my money and amazonuk just saying its in the billing department.no signof devlp,2573,When you last contacted us what information did we provide? Have you spoken with your bank to see if they have the refund? ^LR,Tue Oct 31 21:58:00 +0000 2017
2581,"I've been in the prime queue, kindle queue, the echo queue, and now on hold again.",2582,We'd like to look deeper into this issue. Please provide us with more information here: [URL] ^LH,Wed Nov 01 21:42:28 +0000 2017
2584,Well ok but @116324 said it’s been dlvd so I can’t see how they will bother to deliver it now! I think they have washed their hands of it,2583,We're definitely here to help! Please reach out to us by phone here: [URL] ^SE,Tue Oct 31 22:48:00 +0000 2017
2586,not dlvd after 1 wk. U lied 2 @AmazonHelp saying left in safe place on Fri. Yesterday u said wld be dlvd 24-48hrs. Sort this now!,2585,I'm sorry your order hasn't arrived yet! Please let us know if you haven't received it within 48 hours. ^EB,Tue Oct 31 20:48:00 +0000 2017
2591,No on the card. It works only half the time. Yes on USPS. They say my delivery person won’t deliver anything over 30 lbs. just sends it back,2587,We'd like another chance to look into this. Please reach out by phone or chat: [URL] Please keep us updated. ^FJ,Tue Oct 31 22:45:00 +0000 2017
2594,Want to speak to someone at corp to address these issues.,2592,Have you tried deleting the card from the account and re-adding it? Have you reached out to USPS about these deliveries? ^AF [URL],Tue Oct 31 20:35:32 +0000 2017
2598,Multiple calls to call amazon call center with zero resolution and never a promised call back.,2595,Can you tell us what insight / advice was provided with when you spoke with us last? We'd like to help if we can. ^BG,Tue Oct 31 20:04:28 +0000 2017
3724,There was only one costing a lot more than £20 and FBA -stating eligibility !,3722,"We'd like to take a look into this with you. When you have a moment, please reach out to us here: [URL] ^AC",Tue Oct 31 23:11:29 +0000 2017
3729,i reset my password 3 times and it still says incorrect you gotta be shitting me,3727,I'm sorry for the trouble! Have you tried the steps outlined here? [URL] ^LA,Tue Oct 31 23:11:29 +0000 2017
3728,All of them,3730,Hmm.... Let's take a closer look into what's going on here: [URL] ^ML,Tue Oct 31 23:15:34 +0000 2017
3733,"um, my account was locked as soon as I tried to login on desktop. I still haven’t received an email on how to get it unlocked...",3731,I'm sorry your account is locked! Please reach out directly to us here: [URL] so we can take a closer look. ^TN,Tue Oct 31 23:07:02 +0000 2017
3732,I can’t log in because it’s locked.,3734,"The link ^TN provided will allow you to contact us without signing in! Select ""skip log in"" and you'll be in touch in no time! ^VB",Tue Oct 31 23:36:32 +0000 2017
3737,Warum ist es mir (und scheinbar auch ein paar anderen) nicht möglich per Bankeinzug zu bezahlen?,3735,Hier findest du alle Infos darüber: [URL] ^AS,Tue Oct 31 23:06:31 +0000 2017
3736,Kann ich dann wenigstens mein Amazon-Konto aufladen um zu bezahlen. Ich habe keine Kreditkarte und möchte auch keine,3738,"Du hast die Möglichkeit, Amazon.de Geschenkkarten aus dem stationären Handel für deine Bestellungen einzulösen. Gruß ^DS",Wed Nov 01 05:10:28 +0000 2017
3740,"na ultima atualização da entrega do meu pedido, consta que não foi possível localizar o meu endereço, poderia ajudar?",3739,Olá Georgiano. Sinto muito em saber disso. Por favor entre em contato com o nosso SAC no seguinte link: [URL] ^JJ,Tue Oct 31 23:04:57 +0000 2017
3744,infórmese... no voy a perder más mi tiempo...,3743,¿Puedes explicarnos bien el inconveniente y mandarnos los detalles en este enlace por favor? [URL] ^JJ,Tue Oct 31 23:01:36 +0000 2017
3748,"Many times, but still failing, and it happen with some show",3750,Is this still ongoing? What devices are you using? ^AN,Wed Nov 01 05:04:00 +0000 2017
3751,Sadly yes,3752,What devices are you using for Amazon Video? ^AN,Wed Nov 01 09:58:00 +0000 2017
3753,"Mac book pro, with Chrome",3754,In this case please contact my colleagues via: [URL] They will help you! Regards ^DW,Wed Nov 01 10:24:27 +0000 2017
3756,"I need to change the language of my account to be able to get support, which I don't have the time to do, there's any other way to contact?",3757,Changing language is just a simple click: [URL] You can reach our support here: [URL] ^UK,Thu Nov 02 10:47:31 +0000 2017
4788,So sad @AmazonHelp @115830 ruined his FIRST Halloween by failing to deliver his tiny costume 2 days running #whypayprime? #amazon #prime,4787,Oh no! Did we miss the expected delivery date from your confirmation e-mail here: [URL] Please let us know. ^KL,Tue Oct 31 23:25:39 +0000 2017
4850,"already tried help by mail and still problem persist, please close my account and don't want to be a customer anymore [URL]",4846,"I'm sorry. We can't access your account via Twitter. For assistance, please reach us here: [URL] ^WT",Tue Oct 31 23:20:32 +0000 2017
4849,"how is Amazon going to solve this? By mail, text, call, customer phone service, no one is able to help me [URL]",4851,We want our team to investigate this further with you. Please reach out to us using the secure link: [URL],Thu Nov 02 15:12:37 +0000 2017
4853,"no luck it keeps asking for code witch is not sending to my phone can Amazon eliminate the 2 step method, this is so frustrating",4852,"I'm so sorry for the frustration, Luis. We should absolutely be able to help! Please contact us using the link TN provided. ^SD",Tue Oct 31 18:05:02 +0000 2017
4855,"no luck on receiving the code by text or call, will I loose my account, yesterday a phone representative tried to help already [URL]",4854,I'm sorry for the challenge signing in. Please use the link from above again so that we can help. Keep us updated! ^MH,Tue Oct 31 14:13:27 +0000 2017
4857,USAs Amazon. Com,4856,Please reach out to us directly here: [URL] We'd love to help get you logged in! ^TN,Tue Oct 31 02:36:31 +0000 2017
4859,Im not receiving 2step code by text or call in my smartphone can't log in into my account already got help by phone with no luck,4858,Sorry you're having problems logging in. Please let us know which Amazon site you are using (.com .es). Thanks. ^SE,Tue Oct 31 00:47:34 +0000 2017
4863,They said it was UPS. UPS says they never received the package to deliver ¯\_(ツ)_/¯,4865,"To confirm, what does the latest tracking update show? Please check here: [URL] ^BE",Tue Oct 31 23:57:00 +0000 2017
4947,Solo dice “en reparto” pero no tiene un número de contacto con el repartidor que es de Amazon Services 😩,4945,"Gracias por la información, Quirino. Por favor, contacta con nuestros colegas de Servicio al Cliente para una atención personalizada y puedan darte información precisa sobre tu paquete. Lo puedes hacer a través del siguiente enlace: [URL] ^LC",Sun Nov 26 00:29:27 +0000 2017
4946,Excelente servicio! Recibí mis paquetes hace un par de minutos!,4948,¡Nos alegra saberlo Quirino! Te agradecemos que nos hayas contactado y esperamos que puedas disfrutar de tu compra. Quedamos a tu servicio. ¡Saludos! ^PC,Sun Nov 26 00:47:00 +0000 2017
4950,No. Como puedo contactarlo,4949,Quirino al ingresar al correo de confirmación de compra te aparecerá un enlace en el cual esta el número de guía de tu pedido. También puedes utilizar la siguiente información para contactar con el transportista: [URL] ^PC,Sun Nov 26 00:23:00 +0000 2017
4956,I have no option but to see if my delivery arrives on the scheduled date. But I will contact customer services if it doesn't arrive on time.,4958,Thanks for the additional information. Keep us posted on the arrival of your packages! Let us know if you have any further questions. ^SW,Sun Nov 26 01:06:26 +0000 2017
5117,"I would like it replaced not refunded. But the sale is over, and doesn’t look like you have it in stock at the site. What are my other options?",5116,"Thanks for reaching back out to us! If your item is not eligible for replacement, you can still return the item for a full refund instead. You can view your replacement and/or return options here: [URL] ^BN",Sun Nov 26 00:27:27 +0000 2017
5121,It's now a police matter. You could check the police report.,5120,"I'd like to have a member of our team ensure this is escalated to the correct teams for investigation. When you have a moment, please send us as many details as possible here: [URL] ^SB",Sun Nov 26 00:27:00 +0000 2017
5128,"AMZL US Tracking ID TBA566517950000 it says delivered to mail room, I checked the mail and the front offce, the driver listed 1 package, in that one package was my XLR cables...I'm missing the controller.",5126,"I understand your frustration! Our team would like a chance to address this concern. At your convenience, include your details here: [URL] ^SJ",Sun Nov 26 00:24:37 +0000 2017
5127,And you guys have officially lost me as a customer. Was promised today...was never shipped. Give me my refund please so I may take my business else where. [URL],5129,I'm truly sorry for the inconvenience! We don't have access to your account via Twitter. We'd like to help if we can. Please connect with us here so we can assist you: [URL] ^MO,Wed Nov 29 06:03:00 +0000 2017
5133,"No, I can't check. It shows nothing. And customer service rep was NO help.",5135,"If you would like to contact our support team via phone, please give us a call so we can review these details with you: 1-866-216-1072. ^WM",Sun Nov 26 00:31:00 +0000 2017
5149,Trying to get a friend's playlist on my Amazon music app but it keeps giving me the following message [URL],5148,Very strange! Is your friend able to replicate the issue on his app? You might also need to try uninstalling and reinstalling the app. ^JP,Sun Nov 26 00:21:26 +0000 2017
5155,Thank you so much once again for kinds of word,5157,You're welcome Dhiraj. :),Sun Nov 26 00:31:30 +0000 2017
5285,hey amazon - please help me :( i hVe tried calling and chatting with y’all but keep hitting walls. DM?,5283,"We'd like to help in any way we can, Juan! I've enabled direct messaging. Without providing personal or account information, please tell us a little more about what's going on. ^FD [URL]",Sun Nov 26 00:19:30 +0000 2017
5284,I’m looking to reroute all my packages (except 1) to a nearby Amazon locker. I’ll DM you now :),5286,Thanks for the information. We've responded to your DM. ^GG,Sun Nov 26 00:46:00 +0000 2017
5293,Solicitud (foto del estado de cuenta),5292,Puedes también comunicarte a través del siguiente enlace de contacto para que se revise tu caso: [URL] ^PC,Sun Nov 26 00:18:28 +0000 2017
5308,10 hours ago.,5306,Gotcha- Let us know if you haven't heard back from them on Tuesday. ^BL,Sun Nov 26 00:15:31 +0000 2017
5312,"Still not working. They sent me a link to reset the password, try and sign in with new password and still locked out.",5311,Did information get sent to our Accounts Specialists to look into when you contacted in? ^DO,Sat Nov 25 23:45:03 +0000 2017
5315,Someone keeps trying to buy playstation cards on my account. Having a hard time getting customer service,5313,"Thanks for letting us know about this, Jon. We're here to help! We can be reached 24/7 here: [URL] Please do keep us in the loop. ^BL",Sat Nov 25 14:53:26 +0000 2017
5317,"Danke für die schnelle Antwort... ja, ich werde mal nachfragen, was da schiefgelaufen sein soll. Ihnen auch einen schönen Abend noch.",5316,Danke :-),Sun Nov 26 00:15:31 +0000 2017
5319,"Ach schau an. Meine Bestellung war unzustellbar... @AmazonHelp, was ist da denn passiert? Bekomme ich mein Geld nun wieder?",5318,Bei unzustellbaren Sendungen wird gewöhnlich nach Bearbeitung der Retoure eine Erstattung veranlasst. Den Grund können wir von hier aus leider nicht einsehen. Bei Fragen hierzu kannst du dich gerne per E-mail/Telefon an unseren Kundenservice wenden. Schönen Abend ^MH,Sun Nov 26 00:05:51 +0000 2017
5328,Trying to place an order this happened before and deleting and rentering my address fixed it but now it's across multiple prime accounts to the same address,5326,"Prime shipping refers to transit time after your orders ship, in working days. Some orders require additional processing and handling. The delivery date shown at checkout is the most accurate. ^LR",Sun Nov 26 00:13:26 +0000 2017
5327,But why has every item got 3+ days processing time when it's usually next day,5329,Some deliveries may take slightly longer than usual. You can read more information on here: [URL] ^KI,Sun Nov 26 10:01:53 +0000 2017
5331,live chat down in the UK and as a prime member I cannot t get any items delivered before Tuesday whats going on?,5330,"Hi there, I'm sorry for the delivery troubles! Just to confirm, are you trying to place an order right now, or is this an ongoing issue? Are we missing the promised delivery dates here: [URL] ^DW",Sat Nov 25 19:53:00 +0000 2017
5778,Pago para tener el Prime con vosotros para que me tarden en llegar 10 dias? Reembolsadme la compra y lo compro en cualquier otro sitio,5776,"Zainda, nos comentarías, ¿ya entraste en contacto con nuestro Servicio de Atención al Cliente? ^HC",Tue Oct 31 23:43:33 +0000 2017
5793,I’m trying off my fire stick,5791,(2/2) ... please reach out to us for real-time troubleshooting here: [URL] ^WT,Tue Oct 31 23:38:00 +0000 2017
5796,I go to watch #thebay and episode 7 &amp; 8 aren’t there??? 😭 @117090 @AmazonHelp,5795,"I'm sorry, I see we do have both episodes available. Can you let us know which device you are streaming this on? ^EB",Tue Oct 31 23:31:27 +0000 2017
6958,"Will do in morning. By the way, I’ve complained about this same issue 3 times and twice before directly to carrier.",6956,"When you have a moment, please phone us here: [URL] ^RR",Sun Nov 19 04:11:34 +0000 2017
6957,Please call me,6959,"If you follow the link ^RR provided, we'd love to give you a call. ^MH",Sun Nov 19 18:04:41 +0000 2017
6960,Or you can provide me with a direct dial number and I’ll call it now,6962,Hi there! We are not able to see customer's account information here on Twitter. Please reach out to us by calling 866-216-1072 and keep us updated on the outcome! ^SP,Sun Nov 19 18:52:00 +0000 2017
6963,"Thank you. Spoke with customer service who was very nice &amp; helpful &amp; put me straight through to a Competent logistics person who documented issue, researched my acct &amp; was going to contact delivery Svc directly to ensure procedures followed. Time will tell. Thank you.",6964,You're welcome. Reach out again if you have questions in the future. We're here to help. ^JF,Sun Nov 19 20:29:36 +0000 2017
8511,UPS supposed to pick up a return package yesterday and bring return label... never showed.,8510,"I'm sorry your package wasn't picked up! When you have a moment, reach out to us here: [URL] ^AC",Tue Oct 31 23:56:29 +0000 2017
8515,"Hecho el procedimiento, lo que me interesa y exijo es que sea devuelto mi dinero puesto que jamás he adquirido algún articulo por este medio",8517,"Mary, si no te has beneficiado de las ventajas de Prime, recibirás el reembolso. Recibirás un e-mail con más detalles. ^LG",Wed Nov 01 18:39:25 +0000 2017
8524,my original echo some time say things without asking here anything ! This is really wired and creepy and scary!!,8523,"Hmm, that's strange! Try going to Settings and reviewing your history. From here, you can see what prompted your Echo. ^FD",Tue Oct 31 23:49:32 +0000 2017
8526,Well it says arriving today but honestly I know that’s fake as looked last four days and it’s still the same then [URL],8528,"I understand your concern. At your earliest convenience, we'd like to look into this with you: [URL] ^GM",Wed Nov 01 00:02:51 +0000 2017
8529,Thank you but unsure how that’s going to help as just says “put for delivery and arriving today when I know it proberly won’t :/,8530,"I can understand your reluctance, but we can provide you with additional options depending on who the seller is. ^SY",Wed Nov 01 00:48:00 +0000 2017
8531,Okay....what information do you need to be able to help then???,8533,"Hi, is the book listed as sold or fulfilled by Amazon? If so, please get in touch with us via the link ^GM provided. ^TS",Wed Nov 01 09:11:57 +0000 2017
8532,The last update was on 22nd Oct saying it’s out for delivery.....you can’t tell me it take a over two weeks to deliver [URL],8534,It would be best to contact us directly here: [URL] and we can look into this further then. ^PK,Wed Nov 01 09:14:00 +0000 2017
8581,hi I cancelled an item today but the money has not shown back up in my bank yet can you tell me how long it takes?,8580,"Hi there, items are not billed to you until they have shipped. If you have been charged for the order already, the refund will reflect on your account within 5-7 business days. You can read more about it here: [URL] -RD",Wed Nov 22 11:46:00 +0000 2017
9119,"I got it sorted out, after multiple phone calls and failed chat sessions (those were horrible btw)",9121,"Thanks for the update! I'm sorry about the order issues and your inconvenience, but glad that everything has been resolved. ^SE",Wed Nov 01 00:28:30 +0000 2017
9125,I'm UK based. Are the contact details the same?,9122,Sorry! Try this one instead: [URL] ^TR,Wed Nov 01 00:13:31 +0000 2017
9123,Hello? So how do I contact someone if I can't log in?! I'm really concerned about what is happening with my acct and who has access to it!,9126,Hi Emma. I understand. You can use this link (which doesn't require a log in) to get in touch: [URL] ^DC,Wed Nov 01 07:41:27 +0000 2017
9129,It looks as though someone has changed the email address linked to my acct &amp; I can no longer log in. Help!,9128,"We're here to help! Please, reach us phone or e-mail so we can investigate: [URL] ^EB",Wed Nov 01 00:10:28 +0000 2017
9132,Haha @117634 has been sneakily charging me $9.99 SINCE FEBRUARY for a service I never use💩🙈👎 $90 gone!!! Thanks @AmazonHelp,9130,Oh no! We'd like to review these charges and available options with you. Please reach us here: [URL] ^EZ,Wed Nov 01 00:11:24 +0000 2017
9137,Had a package scheduled for delivery today and it didn’t come I’m not happy,9136,I'm sorry your shipment hasn't arrived; what is the latest status on the order: [URL] ^LR,Wed Nov 01 00:06:28 +0000 2017
9144,"Solved, Thank You",9143,You're welcome. Do keep us posted for any further assistance. ^MK,Tue Oct 31 23:59:36 +0000 2017
9765,"Order date 06-Oct-2017 Order # 406-8895581-1413106 Order total 3,719.00 (1 item) check out yourself",9768,"Please don't provide your details, we consider it personal information. Our Twitter page is visible to public. ^MK",Wed Nov 01 00:37:32 +0000 2017
9766,What support team are you talking about ? I called twice n they make it sound like they will graciously refund my money. But then nothing,9769,"Sorry for this ordeal, Benish. Please share your details here: [URL] and I'll get in touch with you. ^HD",Wed Nov 01 00:33:00 +0000 2017
9770,I have had the hassle to provide my concern on the given link twice and it’s a pain. Use the details I already mentioned. I m not doing it,9771,Please share your details from the link provided for us to look into your concern and assist you further. (2/2) ^SV,Wed Nov 01 00:52:00 +0000 2017
9773,Incredible! I shouldn’t post my details here Coz it’s public. While you can’t access it being in Amazon! Are you kidding me ?,9774,We haven't received your details. Kindly share your details here: [URL] and I'll get in touch soon. ^AK,Wed Nov 01 02:50:01 +0000 2017
9775,"Order date 06-Oct-2017 Order # 406-8895581-1413106 Order total 3,719.00 (delete it again)",9776,"Please don't provide your order details, as we consider them to be personal info. Our page is visible to the public. (2/2) ^GK",Wed Nov 01 06:22:03 +0000 2017
9780,I've returned several things lately and don't want Amazon to think I'm abusing the return policy.,9782,I understand! Returns can be made as long as they fall under this policy: [URL] Hope this helps! ^BL,Wed Nov 01 00:43:03 +0000 2017
9790,I already chatted with help and am still not convinced i'll get the right item because clearly the warehouse workers can't read.,9792,Please keep us posted if a replacement was provided. We want to ensure you receive the correct phone case. ^EZ,Wed Nov 01 00:29:34 +0000 2017
9802,"Haven’t received any mail, can you please resend mail to __email__",9800,I just checked and can see that we have sent you an email correspondence. Request you to please check your spam folder. ^MK,Wed Nov 01 00:20:28 +0000 2017
9801,"I have checked there is no email from amazon, and amazon is in safe senders list.",9803,"If you haven't received any email, please share your details here: [URL] and we'll get back to you. ^HD",Wed Nov 01 00:29:33 +0000 2017
9804,I have filled the details,9805,"If you've shared your details in the link, we'll check and get back to you with an update soon. ^MK",Wed Nov 01 00:39:52 +0000 2017
9810,Was sent this item in 6x9 size. Trying to return &amp; UPS did not show up today. I'd keep item if I could get refund for price difference. [URL],9809,We would like to investigate further with you. Please reach out to us at your convenience: [URL] ^JP,Wed Nov 01 00:20:00 +0000 2017
9817,Please explain this @AmazonHelp [URL],9815,I'm sorry it hasn't arrived! We strive to meet the delivery date in your confirmation e-mail. Have we missed that date? ^MO,Wed Nov 01 00:17:00 +0000 2017
9819,if thats the case because if I pay for overnight shipping/delivery i expect to get what I paid for.,9818,"(2/2) If we’ve missed the date in our order confirmation e-mail, please let us know here: [URL] ^WT",Wed Nov 01 00:16:33 +0000 2017
9955,"amazon just doesn’t seem to get it together, poor customer service, warranty is a scam",9954,Sorry to hear you're having issues with your Fire tablet. Seems to be a bit of an issue with the link above. Please provide info here: [URL] so we can look into this for you. ^ES,Wed Nov 22 11:58:32 +0000 2017
9957,"I was on the phone for an hour; kids fire tablet not working , warranty is a lie and your agents are rude.",9956,I'm sorry for this poor experience. We'd like to look into this. Please pass your details to us here: [URL] ^RR,Wed Nov 22 01:15:00 +0000 2017
